ticket_id,ticket_text,intent,organization,contract,priority,channel,asset,user_role,previous_resolver,assignment_history,assignment_count,correct_resolver
TCK-1071,System Alert - Laptop screen flickering and going completely blank,Hardware Fault,Acme Technologies,Mission Critical,Medium,Phone,Desktop,Manager,None,None,1,Hardware Team
TCK-1072,User inquiry: Solid state drive reporting SMART disk failure error,Hardware Fault,Acme Technologies,Mission Critical,Medium,Portal,Laptop,External Partner,Application Team,Cloud Team -> Security Team,3,Hardware Team
TCK-1073,Cloud storage bucket access permission denied,Cloud Outage,Global Finance Inc,Premium SLA,Medium,Phone,Cloud VM,Security Admin,Security Team,Database Team -> Application Team -> Database Team,4,Cloud Team
TCK-1074,User inquiry: Potential data exfiltration alert triggered on firewall,Security Incident,Acme Technologies,Mission Critical,Critical,Phone,Application Server,Security Admin,None,None,1,Security Team
TCK-1075,Help needed: Solid state drive reporting SMART disk failure error,Hardware Fault,XYZ Ltd,Basic Support,High,Portal,Laptop,Employee,None,None,1,Hardware Team
TCK-1076,Issue reported: Azure Cloud VM unreachable via SSH connection,Cloud Outage,XYZ Ltd,Basic Support,Critical,Portal,Cloud VM,Security Admin,None,None,1,Application Team
TCK-1077,Help needed: Desktop PC failing to POST hardware boot diagnostic,Hardware Fault,XYZ Ltd,Basic Support,Medium,Phone,Laptop,IT Admin,Cloud Team,Database Team,2,Hardware Team
TCK-1078,Azure Cloud VM unreachable via SSH connection,Cloud Outage,Global Finance Inc,Premium SLA,Critical,Chat,Cloud VM,Employee,None,None,1,Cloud Team
TCK-1079,URGENT: Desktop PC failing to POST hardware boot diagnostic,Hardware Fault,Acme Technologies,Mission Critical,Low,Chat,Laptop,Security Admin,None,None,1,Hardware Team
TCK-1080,Issue reported: ERP software crashing upon submitting monthly invoice report,Application Crash,XYZ Ltd,Basic Support,Low,Email,Laptop,External Partner,Cloud Team,Cloud Team -> Cloud Team,3,Application Team
TCK-1081,System Alert - PostgreSQL database service stopped unexpectedly,Database Outage,Global Finance Inc,Premium SLA,Critical,Phone,Database Server,Security Admin,None,None,1,Database Team
TCK-1082,Slow throughput over Cisco AnyConnect VPN connection,VPN Issue,ABC Corp,Standard Enterprise,High,Portal,VPN,Manager,Cloud Team,Security Team,2,Network Team
TCK-1083,System Alert - Database connection pool exhausted on production server,Database Outage,Global Finance Inc,Premium SLA,Critical,Portal,Database Server,External Partner,Database Team,Hardware Team -> Network Team -> Security Team,4,Application Team
TCK-1084,Keyboard and trackpad unresponsive on developer laptop,Hardware Fault,XYZ Ltd,Basic Support,Medium,Email,Laptop,Security Admin,None,None,1,Hardware Team
TCK-1085,URGENT: Database connection pool exhausted on production server,Database Outage,XYZ Ltd,Basic Support,Critical,Portal,Database Server,IT Admin,None,None,1,Application Team
TCK-1086,Help needed: Overheating CPU causing laptop system thermal shutdown,Hardware Fault,Global Finance Inc,Premium SLA,Low,Chat,Laptop,Security Admin,None,None,1,Application Team
TCK-1087,URGENT: Mobile app freezing on checkout payment screen,Application Crash,ABC Corp,Standard Enterprise,Low,Phone,Desktop,Manager,None,None,1,Application Team
TCK-1088,User inquiry: Corrupted table index causing database deadlock,Database Outage,Global Finance Inc,Premium SLA,Critical,Chat,Database Server,IT Admin,None,None,1,Database Team
TCK-1089,System Alert - Employee account compromised sending phishing emails,Security Incident,Acme Technologies,Mission Critical,Medium,Email,Application Server,IT Admin,None,None,1,Security Team
TCK-1090,Help needed: Cloud storage bucket access permission denied,Cloud Outage,Global Finance Inc,Premium SLA,Critical,Portal,Cloud VM,External Partner,None,None,1,Application Team
TCK-1091,System Alert - Laptop screen flickering and going completely blank,Hardware Fault,ABC Corp,Standard Enterprise,Critical,Portal,Desktop,External Partner,Cloud Team,Application Team -> Application Team,3,Hardware Team
TCK-1092,Help needed: VPN tunnel dropping connection every few minutes,VPN Issue,XYZ Ltd,Basic Support,Critical,Portal,Network Device,IT Admin,Cloud Team,Database Team -> Database Team -> Hardware Team,4,Network Team
TCK-1093,User inquiry: ERP software crashing upon submitting monthly invoice report,Application Crash,Global Finance Inc,Premium SLA,Low,Chat,Application Server,Employee,None,None,1,Application Team
TCK-1094,System Alert - Azure Cloud VM unreachable via SSH connection,Cloud Outage,Acme Technologies,Mission Critical,Critical,Chat,Cloud VM,External Partner,None,None,1,Cloud Team
TCK-1095,User inquiry: Corrupted table index causing database deadlock,Database Outage,XYZ Ltd,Basic Support,High,Portal,Database Server,Security Admin,None,None,1,Application Team
TCK-1096,User inquiry: Employee account compromised sending phishing emails,Security Incident,Acme Technologies,Mission Critical,Critical,Chat,VPN,Employee,None,None,1,Security Team
TCK-1097,System Alert - Potential data exfiltration alert triggered on firewall,Security Incident,Acme Technologies,Mission Critical,Critical,Chat,Cloud VM,IT Admin,None,None,1,Security Team
TCK-1098,User inquiry: SQL query execution timing out for reporting service,Database Outage,Global Finance Inc,Premium SLA,Medium,Phone,Database Server,Manager,None,None,1,Database Team
TCK-1099,System Alert - Cloud storage bucket access permission denied,Cloud Outage,XYZ Ltd,Basic Support,High,Phone,Cloud VM,Security Admin,None,None,1,Application Team
TCK-1100,User inquiry: Suspicious multiple failed login attempts from unknown IP address,Security Incident,Global Finance Inc,Premium SLA,High,Chat,Application Server,Employee,None,None,1,Security Team
TCK-1101,System Alert - Database connection pool exhausted on production server,Database Outage,Acme Technologies,Mission Critical,Medium,Phone,Database Server,IT Admin,None,None,1,Database Team
TCK-1102,Help needed: CRM module memory leak causing severe slow response,Application Crash,Global Finance Inc,Premium SLA,Low,Email,Application Server,External Partner,None,None,1,Application Team
TCK-1103,Desktop PC failing to POST hardware boot diagnostic,Hardware Fault,ABC Corp,Standard Enterprise,Low,Chat,Laptop,Security Admin,Network Team,Network Team -> Database Team,3,Hardware Team
TCK-1104,Help needed: Remote access gateway timeout during sign in,VPN Issue,Acme Technologies,Mission Critical,Medium,Chat,VPN,Security Admin,None,None,1,Network Team
TCK-1105,Issue reported: SQL query execution timing out for reporting service,Database Outage,ABC Corp,Standard Enterprise,High,Chat,Database Server,External Partner,None,None,1,Database Team
TCK-1106,System Alert - SQL query execution timing out for reporting service,Database Outage,Acme Technologies,Mission Critical,Medium,Chat,Database Server,Security Admin,None,None,1,Database Team
TCK-1107,Issue reported: Auto-scaling group failing to launch new cloud instances,Cloud Outage,ABC Corp,Standard Enterprise,Critical,Chat,Cloud VM,Security Admin,None,None,1,Cloud Team
TCK-1108,Issue reported: Employee account compromised sending phishing emails,Security Incident,Global Finance Inc,Premium SLA,High,Chat,Laptop,Security Admin,None,None,1,Security Team
TCK-1109,Mobile app freezing on checkout payment screen,Application Crash,Acme Technologies,Mission Critical,Critical,Phone,Desktop,Employee,Network Team,Cloud Team -> Hardware Team -> Database Team,4,Application Team
TCK-1110,Help needed: PostgreSQL database service stopped unexpectedly,Database Outage,XYZ Ltd,Basic Support,High,Portal,Database Server,Manager,None,None,1,Application Team
TCK-1111,Help needed: AWS EC2 instance instance status check failed,Cloud Outage,Global Finance Inc,Premium SLA,High,Portal,Cloud VM,Employee,None,None,1,Cloud Team
TCK-1112,Issue reported: Overheating CPU causing laptop system thermal shutdown,Hardware Fault,XYZ Ltd,Basic Support,High,Email,Desktop,Manager,None,None,1,Hardware Team
TCK-1113,Employee account compromised sending phishing emails,Security Incident,Acme Technologies,Mission Critical,Medium,Email,Database Server,Employee,None,None,1,Security Team
TCK-1114,User inquiry: Corrupted table index causing database deadlock,Database Outage,Acme Technologies,Mission Critical,Medium,Phone,Database Server,Employee,None,None,1,Database Team
TCK-1115,Employee account compromised sending phishing emails,Security Incident,Acme Technologies,Mission Critical,Critical,Portal,Database Server,External Partner,None,None,1,Security Team
TCK-1116,User inquiry: Suspicious multiple failed login attempts from unknown IP address,Security Incident,Acme Technologies,Mission Critical,Medium,Chat,Desktop,External Partner,None,None,1,Security Team
TCK-1117,URGENT: Overheating CPU causing laptop system thermal shutdown,Hardware Fault,XYZ Ltd,Basic Support,High,Chat,Laptop,Employee,Cloud Team,Security Team,2,Hardware Team
TCK-1118,Help needed: Unauthorized privilege escalation attempt in active directory,Security Incident,Global Finance Inc,Premium SLA,High,Chat,Application Server,External Partner,None,None,1,Security Team
TCK-1119,System Alert - Potential data exfiltration alert triggered on firewall,Security Incident,Acme Technologies,Mission Critical,Critical,Email,Application Server,Employee,None,None,1,Security Team
TCK-1120,URGENT: Database cluster replication delay critical alert,Database Outage,Acme Technologies,Mission Critical,Medium,Chat,Database Server,External Partner,None,None,1,Database Team
TCK-1121,URGENT: VPN client giving authentication error 800,VPN Issue,XYZ Ltd,Basic Support,Low,Phone,VPN,External Partner,Cloud Team,Security Team,2,Application Team
TCK-1122,Issue reported: Slow throughput over Cisco AnyConnect VPN connection,VPN Issue,XYZ Ltd,Basic Support,Medium,Portal,Network Device,Manager,None,None,1,Network Team
TCK-1123,User inquiry: SQL query execution timing out for reporting service,Database Outage,Acme Technologies,Mission Critical,Medium,Email,Database Server,Manager,Cloud Team,Hardware Team,2,Database Team
TCK-1124,Help needed: VPN tunnel dropping connection every few minutes,VPN Issue,ABC Corp,Standard Enterprise,Low,Portal,Network Device,Manager,None,None,1,Network Team
TCK-1125,User inquiry: Keyboard and trackpad unresponsive on developer laptop,Hardware Fault,ABC Corp,Standard Enterprise,Low,Phone,Laptop,Security Admin,None,None,1,Hardware Team
TCK-1126,System Alert - Cannot connect to corporate VPN from home network,VPN Issue,Global Finance Inc,Premium SLA,Critical,Chat,VPN,Security Admin,Hardware Team,Cloud Team,2,Network Team
TCK-1127,Issue reported: Database connection pool exhausted on production server,Database Outage,Acme Technologies,Mission Critical,Critical,Phone,Database Server,External Partner,None,None,1,Database Team
TCK-1128,URGENT: CRM module memory leak causing severe slow response,Application Crash,ABC Corp,Standard Enterprise,Medium,Chat,Desktop,External Partner,None,None,1,Application Team
TCK-1129,Help needed: Corrupted table index causing database deadlock,Database Outage,Global Finance Inc,Premium SLA,Medium,Phone,Database Server,Security Admin,None,None,1,Database Team
TCK-1130,Help needed: Kubernetes pod crash loop backoff on cloud node,Cloud Outage,XYZ Ltd,Basic Support,Medium,Portal,Cloud VM,Security Admin,Database Team,Security Team,2,Application Team
TCK-1131,User inquiry: ERP software crashing upon submitting monthly invoice report,Application Crash,Acme Technologies,Mission Critical,High,Chat,Laptop,Employee,None,None,1,Application Team
TCK-1132,Help needed: AWS EC2 instance instance status check failed,Cloud Outage,Acme Technologies,Mission Critical,High,Email,Cloud VM,IT Admin,None,None,1,Cloud Team
TCK-1133,Help needed: Database connection pool exhausted on production server,Database Outage,Acme Technologies,Mission Critical,High,Chat,Database Server,Employee,None,None,1,Database Team
TCK-1134,Desktop app crashing with unhandled null pointer exception,Application Crash,ABC Corp,Standard Enterprise,High,Portal,Desktop,External Partner,Database Team,Database Team -> Database Team -> Network Team,4,Application Team
TCK-1135,User inquiry: SQL query execution timing out for reporting service,Database Outage,Global Finance Inc,Premium SLA,Medium,Portal,Database Server,Employee,None,None,1,Database Team
TCK-1136,System Alert - Corrupted table index causing database deadlock,Database Outage,Global Finance Inc,Premium SLA,Critical,Phone,Database Server,IT Admin,None,None,1,Database Team
TCK-1137,URGENT: Desktop app crashing with unhandled null pointer exception,Application Crash,ABC Corp,Standard Enterprise,Low,Portal,Application Server,Manager,None,None,1,Application Team
TCK-1138,System Alert - Cloud storage bucket access permission denied,Cloud Outage,Global Finance Inc,Premium SLA,High,Portal,Cloud VM,Security Admin,None,None,1,Cloud Team
TCK-1139,Remote access gateway timeout during sign in,VPN Issue,Global Finance Inc,Premium SLA,Low,Email,Network Device,External Partner,None,None,1,Application Team
TCK-1140,URGENT: ERP software crashing upon submitting monthly invoice report,Application Crash,XYZ Ltd,Basic Support,Medium,Phone,Application Server,IT Admin,None,None,1,Application Team
TCK-1141,System Alert - Cannot connect to corporate VPN from home network,VPN Issue,Global Finance Inc,Premium SLA,Critical,Email,VPN,Manager,None,None,1,Network Team
TCK-1142,URGENT: Kubernetes pod crash loop backoff on cloud node,Cloud Outage,Global Finance Inc,Premium SLA,Medium,Chat,Cloud VM,Employee,None,None,1,Cloud Team
TCK-1143,System Alert - Keyboard and trackpad unresponsive on developer laptop,Hardware Fault,Global Finance Inc,Premium SLA,Low,Chat,Desktop,Security Admin,Security Team,Cloud Team -> Hardware Team,3,Application Team
TCK-1144,URGENT: Kubernetes pod crash loop backoff on cloud node,Cloud Outage,Global Finance Inc,Premium SLA,Critical,Chat,Cloud VM,Employee,None,None,1,Cloud Team
TCK-1145,Employee account compromised sending phishing emails,Security Incident,Acme Technologies,Mission Critical,High,Portal,VPN,Manager,None,None,1,Security Team
TCK-1146,User inquiry: Slow throughput over Cisco AnyConnect VPN connection,VPN Issue,XYZ Ltd,Basic Support,Medium,Email,Network Device,IT Admin,Database Team,Database Team -> Cloud Team,3,Network Team
TCK-1147,Issue reported: Database connection pool exhausted on production server,Database Outage,Global Finance Inc,Premium SLA,Critical,Phone,Database Server,Security Admin,Application Team,Application Team,2,Database Team
TCK-1148,Help needed: Kubernetes pod crash loop backoff on cloud node,Cloud Outage,ABC Corp,Standard Enterprise,Critical,Chat,Cloud VM,IT Admin,None,None,1,Cloud Team
TCK-1149,Help needed: Remote access gateway timeout during sign in,VPN Issue,ABC Corp,Standard Enterprise,Critical,Portal,Network Device,Employee,None,None,1,Network Team
TCK-1150,Help needed: Web portal throwing HTTP 500 internal server error,Application Crash,Global Finance Inc,Premium SLA,Low,Chat,Application Server,External Partner,Network Team,Cloud Team -> Security Team,3,Application Team
TCK-1151,VPN tunnel dropping connection every few minutes,VPN Issue,Global Finance Inc,Premium SLA,High,Phone,VPN,Security Admin,None,None,1,Network Team
TCK-1152,Help needed: Unauthorized privilege escalation attempt in active directory,Security Incident,ABC Corp,Standard Enterprise,Critical,Portal,Laptop,IT Admin,None,None,1,Security Team
TCK-1153,Help needed: Employee account compromised sending phishing emails,Security Incident,XYZ Ltd,Basic Support,High,Phone,Laptop,IT Admin,None,None,1,Security Team
TCK-1154,Issue reported: Cloud storage bucket access permission denied,Cloud Outage,ABC Corp,Standard Enterprise,Critical,Email,Cloud VM,IT Admin,None,None,1,Cloud Team
TCK-1155,URGENT: Auto-scaling group failing to launch new cloud instances,Cloud Outage,Global Finance Inc,Premium SLA,Medium,Phone,Cloud VM,External Partner,None,None,1,Application Team
TCK-1156,System Alert - Database cluster replication delay critical alert,Database Outage,XYZ Ltd,Basic Support,High,Portal,Database Server,Manager,None,None,1,Application Team
TCK-1157,User inquiry: Slow throughput over Cisco AnyConnect VPN connection,VPN Issue,ABC Corp,Standard Enterprise,Critical,Email,VPN,IT Admin,Cloud Team,Database Team -> Application Team -> Security Team,4,Network Team
TCK-1158,Employee account compromised sending phishing emails,Security Incident,XYZ Ltd,Basic Support,Critical,Chat,Cloud VM,Security Admin,Hardware Team,Application Team,2,Security Team
TCK-1159,Database cluster replication delay critical alert,Database Outage,Global Finance Inc,Premium SLA,Critical,Chat,Database Server,Security Admin,None,None,1,Database Team
TCK-1160,Issue reported: PostgreSQL database service stopped unexpectedly,Database Outage,Acme Technologies,Mission Critical,Critical,Portal,Database Server,Employee,None,None,1,Database Team
TCK-1161,Help needed: ERP software crashing upon submitting monthly invoice report,Application Crash,ABC Corp,Standard Enterprise,Critical,Email,Laptop,Manager,None,None,1,Application Team
TCK-1162,System Alert - VPN tunnel dropping connection every few minutes,VPN Issue,Acme Technologies,Mission Critical,Low,Chat,Network Device,Employee,None,None,1,Network Team
TCK-1163,URGENT: Corrupted table index causing database deadlock,Database Outage,Acme Technologies,Mission Critical,Critical,Portal,Database Server,Manager,None,None,1,Database Team
TCK-1164,Issue reported: Kubernetes pod crash loop backoff on cloud node,Cloud Outage,XYZ Ltd,Basic Support,Critical,Email,Cloud VM,Employee,None,None,1,Application Team
TCK-1165,User inquiry: Unauthorized privilege escalation attempt in active directory,Security Incident,ABC Corp,Standard Enterprise,Critical,Email,Laptop,Employee,None,None,1,Security Team
TCK-1166,User inquiry: Desktop app crashing with unhandled null pointer exception,Application Crash,Global Finance Inc,Premium SLA,Medium,Phone,Laptop,Employee,Hardware Team,Cloud Team,2,Application Team
